Date,Open,High,Low,Close
1-Feb-17,8841.67,9005.08,8812.18,8999.55
2-Feb-17,9015.1,9050.42,8978.42,9027.71
3-Feb-17,9043.01,9055.86,9007.34,9037.9
6-Feb-17,9074.43,9119.2,9072.04,9099.99
7-Feb-17,9108.5,9115.25,9038.74,9068.87
8-Feb-17,9087.39,9103.37,9020.9,9079.78
9-Feb-17,9096.18,9133.19,9032.39,9091.71
10-Feb-17,9112.31,9130.69,9076.42,9094.26
13-Feb-17,9124.52,9129.88,9050.79,9102.88
14-Feb-17,9116.42,9116.67,9066.18,9085.37
15-Feb-17,9069.52,9095.24,8986.88,8998.05
16-Feb-17,9015.3,9077.6,8988.78,9073.18
17-Feb-17,9166.36,9182.5,9102.86,9124.02
20-Feb-17,9131.51,9192.82,9112.87,9187.23
21-Feb-17,9205.16,9241.7,9184.52,9229.14
22-Feb-17,9248.02,9276.18,9217.1,9235.46
23-Feb-17,9247.56,9289.71,9229.6,9239.67
27-Feb-17,9244.08,9255.62,9194.2,9200.98
28-Feb-17,9204.06,9225.2,9178.69,9190.73
